Ob_ID,X,Y,2013 Yield,2014 Yield,2016 Yield,3 Yr Average Yield,Deep EC,Shallow EC,Average EC,Elevation,Slope,2016 Spring SM,2016 Fall SM,2016 Average SM,2017 Spring SM,2018 Spring SM,2019 Spring SM,(aSM-wp)/(fc-wp),Change in SM,Average Spring SM 2016-2019,PCA1,Log10_Yld16,Log_avEC,LogSlope,logElevation,SqrtYld16,16Yld^2
1,435655.2,4718142,3.210955,3.299726,4.693914,3.734865,9.821594,13.60469,11.71314,1711.493,4.371491,38.8012,8.675298,18.49651,38.25311,21.83803,38.62828,0.226512,30.1259,24.79983,-3.540474,0.6715351,1.068673,0.6406296,3.233375,2.166544,22.03283
2,435660.2,4718142,3.248654,3.317389,4.747725,3.771256,7.391579,12.29093,9.841254,1711.697,4.408879,38.73815,8.632814,18.48655,38.47693,21.77652,38.63307,0.2268188,30.10534,24.82472,-3.669225,0.6764856,0.9930504,0.6443282,3.233427,2.178927,22.54089
3,435665.2,4718142,3.17022,3.350352,4.55186,3.690811,6.944898,12.30975,9.627324,1711.826,4.438859,38.67334,8.598508,18.47688,38.67714,21.71776,38.63706,0.2271212,30.07483,24.844,-3.8273,0.6581889,0.9835056,0.6472713,3.23346,2.133509,20.71943
4,435670.2,4718142,2.974857,3.274823,4.389937,3.546539,6.432175,11.97326,9.202718,1712.001,4.459092,38.60932,8.711711,18.46759,38.8243,21.6579,38.37704,0.2290806,29.89761,24.8496,-3.987256,0.6424583,0.9639161,0.6492464,3.233504,2.095218,19.27155
5,435675.2,4718142,2.951368,3.216278,4.738566,3.635404,5.504387,11.43653,8.470458,1712.1,4.495788,38.50919,8.696646,18.53918,38.90756,21.60393,38.37853,0.2334679,29.81254,24.83199,-3.886885,0.6756469,0.9279069,0.6528058,3.233529,2.176825,22.45401
6,435680.2,4718142,2.838347,3.15156,4.749668,3.579858,5.453279,11.77289,8.613084,1712.219,4.506238,38.40318,8.693094,18.5308,38.90521,21.55377,38.47055,0.234292,29.71009,24.79271,-3.914763,0.6766633,0.9351587,0.6538141,3.233559,2.179373,22.55935
7,435685.2,4718142,2.831223,3.069957,4.904919,3.602033,5.154429,11.69022,8.422325,1712.266,4.497235,38.28681,8.701597,18.52305,38.83405,21.53206,38.46219,0.2355624,29.58521,24.74042,-3.855249,0.6906318,0.925432,0.6529456,3.233571,2.214705,24.05823
8,435690.2,4718142,3.795023,3.038475,5.104796,3.979431,4.86185,11.02669,7.94427,1712.286,4.477054,38.16201,8.722101,18.51594,38.70258,21.52413,38.0153,0.237698,29.43991,24.6735,-3.773174,0.7079784,0.900054,0.6509923,3.233576,2.25938,26.05894
9,435695.1,4718142,3.990878,3.01856,5.100462,4.036633,5.408692,11.11586,8.262276,1712.268,4.391068,38.05055,8.751543,18.50947,38.5241,21.5233,37.99158,0.238272,29.29901,24.60069,-3.722828,0.7076095,0.9170997,0.6425702,3.233572,2.25842,26.01471
10,435700.1,4718142,4.183747,2.967875,4.968582,4.040068,6.520281,11.91017,9.215226,1712.21,4.348739,37.94312,8.78859,18.50364,38.29981,21.52789,37.95672,0.2386681,29.15453,24.51874,-3.714547,0.6962325,0.964506,0.6383633,3.233557,2.229032,24.68681
